Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO INTERFONDO,INTERFONDO,31/12/1995,$,68.7,0.0652,0.1257,-0.0022,-0.0388,-0.0322,0.0162,-0.0673,0.1365,0.2485,-0.2057,-0.0538,14597338.74,639.0
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,$,10.97,0.0555,0.0994,0.0318,-0.0841,-0.0418,0.0268,-0.0685,0.0608,0.2688,-0.2327,-0.0668,4363668.35,208.0
Renta Mixta Moderado Soles,CRED. MODERADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,159.31,0.0638,0.0881,-0.0002,-0.0247,0.0285,0.0395,-0.0157,0.0945,0.1572,-0.0874,0.0066,10077538.21,255.0
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE INTERFONDO,INTERFONDO,30/10/2007,S/.,159.92,0.0796,0.0684,0.0086,0.0011,0.0125,0.0177,-0.0048,0.0933,0.1824,-0.0636,0.0278,20505413.42,408.0
Renta Mixta Moderado Dólares,CRED. MODERADO CREDIFONDO SAF,CREDIFONDO SAF,14/09/2002,$,57.21,0.0436,0.0766,-0.0166,-0.0229,0.0021,0.0526,-0.0509,0.0781,0.1267,-0.1292,-0.0304,28666640.58,409.0
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,17/10/1997,S/.,368.25,0.0498,0.1032,0.0056,-0.0486,0.0347,0.0627,0.0154,0.0667,0.0522,0.0084,0.0361,234067426.49,6566.0
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/. CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,S/.,205.38,0.0616,0.0917,0.0023,-0.0343,0.0467,0.0619,0.0231,0.0662,0.0651,0.0262,0.0417,456511696.5,5262.0
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES INTERFONDO,INTERFONDO,14/03/2002,S/.,215.46,0.0542,0.0926,-0.0675,-0.0386,0.0283,0.0492,0.0187,0.0597,0.0465,0.0185,0.041,64528043.5,3450.0
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES FONDOS SURA SAF,FONDOS SURA SAF,19/05/2006,S/.,221.79,0.052,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,109091620.77,828.0
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $ CONTINENTAL FM,CONTINENTAL FM,21/10/1997,$,205.85,0.0478,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,288569228.94,2312.0
