Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,$,10.49,0.0093,0.0994,0.0318,-0.0841,-0.0418,0.0268,-0.0685,0.0608,0.2688,-0.2327,-0.0668,5167666.46,235.0
Renta Mixta Moderado Soles,CRED. MODERADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,156.9,0.0477,0.0881,-0.0002,-0.0247,0.0285,0.0395,-0.0157,0.0945,0.1572,-0.0874,0.0066,9813144.61,261.0
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE INTERFONDO,INTERFONDO,30/10/2007,S/.,156.11,0.0539,0.0684,0.0086,0.0011,0.0125,0.0177,-0.0048,0.0933,0.1824,-0.0636,0.0278,10836845.71,326.0
Renta Mixta Moderado Dólares,CRED. MODERADO CREDIFONDO SAF,CREDIFONDO SAF,14/09/2002,$,56.36,0.0281,0.0766,-0.0166,-0.0229,0.0021,0.0526,-0.0509,0.0781,0.1267,-0.1292,-0.0304,29547475.38,425.0
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,17/10/1997,S/.,359.06,0.0236,0.1032,0.0056,-0.0486,0.0347,0.0627,0.0154,0.0667,0.0522,0.0084,0.0361,156199815.34,5501.0
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/. CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,S/.,200.25,0.0351,0.0917,0.0023,-0.0343,0.0467,0.0619,0.0231,0.0662,0.0651,0.0262,0.0417,368903214.15,4704.0
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES INTERFONDO,INTERFONDO,14/03/2002,S/.,210.69,0.0308,0.0926,-0.0675,-0.0386,0.0283,0.0492,0.0187,0.0597,0.0465,0.0185,0.041,51557376.94,3229.0
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES FONDOS SURA SAF,FONDOS SURA SAF,19/05/2006,S/.,217.4,0.0312,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,81386921.32,706.0
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $ CONTINENTAL FM,CONTINENTAL FM,21/10/1997,$,200.86,0.0224,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,177449055.5,2106.0
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $ CREDIFONDO SAF,CREDIFONDO SAF,26/03/1996,$,262.2,0.0262,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,602541809.24,5984.0
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO INTERFONDO,INTERFONDO,1/9/97,$,110.99,0.0143,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,82708932.42,3915.0
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES CONTINENTAL FM,CONTINENTAL FM,2/12/08,S/.,159.73,0.0302,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,2336045531.99,70321.0
Inst. Deuda Corto Plazo S/,BBVA PERU SOLES CONTINENTAL FM,CONTINENTAL FM,23/03/2011,S/.,150.16,0.0311,0.0627,0.023,-0.0109,0.0204,0.0234,0.0227,0.0374,0.0429,0.0233,0.0286,6870448.62,315.0
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,27/12/2005,S/.,192.78,0.0295,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,276014134.68,4905.0
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV CONTINENTAL FM,CONTINENTAL FM,3/10/18,S/.,123.18,0.0312,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,201489307.58,381.0
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/ CREDIFONDO SAF,CREDIFONDO SAF,10/2/14,S/.,150.3,0.0326,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,579456773.92,10438.0
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/ CREDIFONDO SAF,CREDIFONDO SAF,6/4/00,S/.,327.82,0.0296,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,1882497470.86,30929.0
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,146.28,-0.0662,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,9162875.23,200.0
Inst. Deuda Corto Plazo S/,SF Liquidez S/. SCOTIA FONDOS,SCOTIA FONDOS,30/01/2023,S/.,11.09,0.0271,0.0635,,,,,,,,,,1054430709.68,12662.0
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES FONDOS SURA SAF,FONDOS SURA SAF,25/03/2009,S/.,185.23,0.0335,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,104117637.7,730.0
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES FONDOS SURA SAF,FONDOS SURA SAF,9/5/12,S/.,159.48,0.0309,0.0732,0.0462,0.0052,0.0156,0.0334,0.0303,0.0423,0.048,0.0419,0.0375,1406112805.0,2694.0
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES CONTINENTAL FM,CONTINENTAL FM,2/12/08,$,119.68,0.0247,0.0442,0.0122,0.001,0.0071,0.0188,0.0149,0.0082,0.0035,0.0013,0.0009,2959522214.1,19699.0
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $ CONTINENTAL FM,CONTINENTAL FM,16/06/2000,$,174.98,0.0256,0.0465,0.0036,0.0021,0.0118,0.0238,0.0173,0.0123,0.0084,-0.0056,0.0012,648529608.96,2663.0
