tipo_fondo,fondo_mutuo,administradora,fec__inicio_operacion,moneda_cuota,valor_cuota,patrimonio_s__,participes_n,anos,categoria,fund_id,risk,logo
Flexible,IF Portafolio Dinamico Soles,INTERFONDO,05/05/2021,S/.,0.0,460151312.16,3544.0,3,Flexible,116,Low,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF Portafolio Dinamico Soles SERIE A,INTERFONDO,05/05/2021,S/.,135.99,,3479.0,3,Flexible,117,,/logosFondosMutuos/logoInterFondos.png
Flexible,-IF Portafolio Dinamico Soles SERIE B,INTERFONDO,05/05/2021,S/.,136.61,,65.0,3,Flexible,118,,/logosFondosMutuos/logoInterFondos.png
Flexible,INDEPENDIENTE PMG,INDEPENDIENTE SAF,31/12/2020,$,112.21,61271574.54,1325.0,4,Flexible,119,Medium Low,/logosFondosMutuos/logoIndependiente.png
Flexible,SCOTIA DEPÓSITO DISPONIBLE S/.,SCOTIA FONDOS,16/08/2011,S/.,12.48,51066006.71,7899.0,13,Flexible,120,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SCOTIA FONDO CASH $,SCOTIA FONDOS,03/07/2001,$,16.42,58972560.35,1927.0,23,Flexible,121,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SCOTIA FONDO CASH S/.,SCOTIA FONDOS,21/06/2001,S/.,20.92,51208972.98,5254.0,23,Flexible,122,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SCOTIA FONDO PREMIUM $,SCOTIA FONDOS,07/02/1996,$,20.66,35366604.66,1654.0,28,Flexible,123,Medium Low,/logosFondosMutuos/logoScotia2.png
Flexible,SCOTIA FONDO PREMIUM S/.,SCOTIA FONDOS,17/04/2007,S/.,12.03,11163716.07,1695.0,17,Flexible,124,Medium,/logosFondosMutuos/logoScotia2.png
Flexible,SF Corto Plazo Plus $,SCOTIA FONDOS,12/01/2023,$,10.62,1001003830.56,2418.0,1,Flexible,125,Low,/logosFondosMutuos/logoScotia2.png
Flexible,SF Corto Plazo Plus S/,SCOTIA FONDOS,28/02/2024,S/.,10.41,277968379.71,1826.0,0,Flexible,126,,/logosFondosMutuos/logoScotia2.png
