bond_key,emisor,credit_rating_agency,risk_classification
51,Compartamos Financiera S.A.,jcr_latino_america,P1-
52,Compartamos Financiera S.A.,jcr_latino_america,P1-
53,Compartamos Financiera S.A.,jcr_latino_america,P1-
54,Compartamos Financiera S.A.,jcr_latino_america,P1-
55,Compartamos Financiera S.A.,jcr_latino_america,P1-
119,Financiera Efectiva S.A.,jcr_latino_america,P1-
120,Financiera Efectiva S.A.,jcr_latino_america,P1-
4,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2
5,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2
6,Agrícola y Ganadera Chavín de Huántar S.A.,pcr,p2
14,Banco Pichincha,pcr,pAA
15,Banco Pichincha,pcr,pAA-
22,Banco GNB Peru S.A.,pcr,AA
23,Banco GNB Peru S.A.,pcr,p1
24,Banco GNB Peru S.A.,pcr,p1
25,Banco GNB Peru S.A.,pcr,p1
26,Banco Interamericano de Finanzas- Banbif ,pcr,pAA
27,Banco Interamericano de Finanzas- Banbif ,pcr,pAA
28,Banco Interamericano de Finanzas- Banbif ,pcr,pAA
29,Banco Interamericano de Finanzas- Banbif ,pcr,pAA
30,Banco Interamericano de Finanzas- Banbif ,pcr,pAA
31,Banco Interamericano de Finanzas- Banbif ,pcr,p1+
32,Banco Interamericano de Finanzas- Banbif ,pcr,p1+
33,Banco Interamericano de Finanzas- Banbif ,pcr,p1+
34,Banco Ripley Perú S.A.,pcr,p1-
35,Banco Santander Perú S.A.,pcr,pAAA
36,Banco BBVA Perú,pcr,pAAA
38,Banco BBVA Perú,pcr,pAA+
39,Banco BBVA Perú,pcr,pAA+
40,Bosques Amazónicos S.A.C.,pcr,p1-
41,Bosques Amazónicos S.A.C.,pcr,p1-
42,Bosques Amazónicos S.A.C.,pcr,p1-
43,Bosques Amazónicos S.A.C.,pcr,PA+
44,Bosques Amazónicos S.A.C.,pcr,pA+
45,Centenario Renta Inmobiliaria S.A.C.,pcr,pAA
79,Enel Generación Perú S.A.A.,pcr,pAAA
93,Enel Distribución Perú S.A.A.,pcr,pAAA
94,Enel Distribución Perú S.A.A.,pcr,pAAA
95,Enel Distribución Perú S.A.A.,pcr,pAAA
96,Enel Distribución Perú S.A.A.,pcr,pAAA
97,Enel Distribución Perú S.A.A.,pcr,pAAA
98,Enel Distribución Perú S.A.A.,pcr,pAAA
99,Enel Distribución Perú S.A.A.,pcr,pAAA
100,Enel Distribución Perú S.A.A.,pcr,pAAA
101,Enel Distribución Perú S.A.A.,pcr,pAAA
102,Enel Distribución Perú S.A.A.,pcr,pAAA
103,Enel Distribución Perú S.A.A.,pcr,pAAA
104,Enel Distribución Perú S.A.A.,pcr,pAAA
105,Enel Distribución Perú S.A.A.,pcr,AAA
119,Financiera Efectiva S.A.,pcr,p1
120,Financiera Efectiva S.A.,pcr,p1
138,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA
139,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA
140,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA
141,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA-
142,Los Portales S.A.,pcr,p2+
143,Los Portales S.A.,pcr,p2+
144,Los Portales S.A.,pcr,p2+
145,Los Portales S.A.,pcr,p1-
146,Luz del Sur S.A.A.,pcr,pAAA
147,Luz del Sur S.A.A.,pcr,pAAA
148,Luz del Sur S.A.A.,pcr,pAAA
149,Luz del Sur S.A.A.,pcr,pAAA
150,Luz del Sur S.A.A.,pcr,pAAA
151,Luz del Sur S.A.A.,pcr,pAAA
152,Luz del Sur S.A.A.,pcr,PAAA
153,Luz del Sur S.A.A.,pcr,pAAA
154,Luz del Sur S.A.A.,pcr,pAAA
155,Luz del Sur S.A.A.,pcr,p1+
156,Luz del Sur S.A.A.,pcr,p1+
157,Luz del Sur S.A.A.,pcr,p1+
