Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
30 - Fondo de Fondos,FF BBVA ESTRATE CONSERV S/ CONTINENTAL FM,CONTINENTAL FM,21/04/1998,S/.,256.3332638,3.75%,6.64%,-4.29%,0.97%,0.13%,4.12%,"13,286,675.40",0.03%,633,0.13%,31/10/2024
30 - Fondo de Fondos,FF BBVA ESTRATE DINAMICO $ CONTINENTAL FM,CONTINENTAL FM,6/10/11,$,63.95899623,6.21%,8.88%,-11.19%,1.25%,-6.37%,9.24%,"2,167,293.14",0.00%,125,0.03%,31/10/2024
30 - Fondo de Fondos,FF BBVA ESTRATE DINAMICO S/ CONTINENTAL FM,CONTINENTAL FM,16/03/2007,S/.,118.1762733,6.18%,10.77%,-9.68%,11.56%,-4.83%,0.43%,"18,742,287.61",0.04%,"1,695.00",0.35%,31/10/2024
30 - Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA $ CONTINENTAL FM,CONTINENTAL FM,18/03/2021,$,105.3016394,5.05%,7.34%,-8.36%,1.93%,,,"2,711,607.36",0.01%,90,0.02%,31/10/2024
30 - Fondo de Fondos,FF BBVA ESTRATE EQUILIBRA S/ CONTINENTAL FM,CONTINENTAL FM,19/03/2007,S/.,139.6206434,4.61%,8.75%,-7.17%,4.50%,-0.87%,4.24%,"14,958,456.95",0.03%,"2,235.00",0.46%,31/10/2024
30 - Fondo de Fondos,FF CC LATAM INNOVACION CREDIFONDO SAF,CREDIFONDO SAF,3/7/23,$,91.446761,-15.56%,7.35%,,,,,"2,696,305.50",0.01%,350,0.07%,31/10/2024
30 - Fondo de Fondos,FF CC RENTA GLOBAL INV GRADE CREDIFONDO SAF,CREDIFONDO SAF,10/11/22,$,112.015539,3.62%,6.35%,1.24%,,,,"106,530,464.00",0.23%,524,0.11%,31/10/2024
30 - Fondo de Fondos,FF Creci Inmobiliario EEUU EL DORADO SAF,EL DORADO SAF,4/1/21,$,0,,,,,,,"97,150,282.92",0.21%,235,0.05%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FF Creci Inmobiliario EEUU SERIE A,EL DORADO SAF,4/1/21,$,112.3315868,3.08%,2.30%,2.14%,4.27%,,,,,185,0.04%,31/10/2024
30 - Fondo de Fondos,EL DORADO SAF-FF Creci Inmobiliario EEUU SERIE B,EL DORADO SAF,4/1/21,$,112.3476282,3.08%,2.30%,2.14%,4.27%,,,,,54,0.01%,31/10/2024
30 - Fondo de Fondos,FONDO D FONDOS DEUDA LATAM CREDIFONDO SAF,CREDIFONDO SAF,7/8/12,$,137.776034,9.01%,5.94%,-9.28%,-0.13%,2.27%,13.31%,"116,122,758.50",0.25%,649,0.13%,31/10/2024
30 - Fondo de Fondos,Fondo de F. Cred. Cons. Global CREDIFONDO SAF,CREDIFONDO SAF,14/12/2017,$,167.703099,7.96%,14.40%,-17.17%,19.29%,11.19%,25.72%,"139,692,599.43",0.30%,"1,054.00",0.22%,31/10/2024
30 - Fondo de Fondos,Independiente Agresivo $ INDEPENDIENTE SAF,INDEPENDIENTE SAF,7/12/21,$,118.0911216,15.53%,15.11%,-12.80%,1.83%,,,"46,011,998.31",0.10%,"3,274.00",0.67%,31/10/2024
30 - Fondo de Fondos,PHI DEUDA INTERNACIONAL PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,22/05/2023,$,0,,,,,,,"3,226,233.92",0.01%,50,0.01%,31/10/2024
30 - Fondo de Fondos,PRUDENTIALSAF SAF-PHI DEUDA INTERNACIONAL SERIE A,PRUDENTIALSAF SAF,22/05/2023,$,10.15526818,0.23%,1.32%,,,,,,,43,0.01%,31/10/2024
30 - Fondo de Fondos,PRUDENTIALSAF SAF-PHI DEUDA INTERNACIONAL SERIE B,PRUDENTIALSAF SAF,22/05/2023,$,10.28259562,0.92%,1.89%,,,,,,,7,0.00%,31/10/2024
30 - Fondo de Fondos,PHI RV ESTRATEGIA GLOBAL PRUDENTIALSAF SAF,PRUDENTIALSAF SAF,26/06/2023,$,0,,,,,,,"18,260,095.11",0.04%,151,0.03%,31/10/2024
30 - Fondo de Fondos,PRUDENTIALSAF SAF-PHI RV ESTRATEGIA GLOBAL SERIE A,PRUDENTIALSAF SAF,26/06/2023,$,12.36718325,14.30%,7.97%,,,,,,,145,0.03%,31/10/2024
30 - Fondo de Fondos,PRUDENTIALSAF SAF-PHI RV ESTRATEGIA GLOBAL SERIE B,PRUDENTIALSAF SAF,26/06/2023,$,12.56985652,15.32%,8.77%,,,,,,,6,0.00%,31/10/2024
30 - Fondo de Fondos,SCOTIA FF INSTITU RF GLOBAL SCOTIA FONDOS,SCOTIA FONDOS,26/07/2023,$,1102.030819,4.36%,4.73%,,,,,"114,232,417.75",0.25%,34,0.01%,31/10/2024
30 - Fondo de Fondos,Scotia Fondo de F. Acc. Europa SCOTIA FONDOS,SCOTIA FONDOS,20/03/2018,$,11.36221597,4.93%,23.38%,-26.74%,8.29%,8.73%,20.57%,"25,827,274.93",0.06%,190,0.04%,31/10/2024
30 - Fondo de Fondos,SCOTIA FONDO DE F. ACC. US SCOTIA FONDOS,SCOTIA FONDOS,19/06/2014,$,25.19485049,20.00%,30.52%,-28.52%,26.95%,12.65%,19.87%,"117,138,472.15",0.25%,621,0.13%,31/10/2024
30 - Fondo de Fondos,SCOTIA FONDO DE F. DEUDA HY SCOTIA FONDOS,SCOTIA FONDOS,28/03/2018,$,11.24291698,4.47%,9.99%,-12.86%,1.72%,0.91%,9.60%,"43,960,305.55",0.10%,159,0.03%,31/10/2024
30 - Fondo de Fondos,Scotia Fondo de F. Deuda IG SCOTIA FONDOS,SCOTIA FONDOS,4/5/18,$,10.29975784,3.56%,5.72%,-13.08%,-3.70%,2.98%,7.50%,"82,734,148.37",0.18%,235,0.05%,31/10/2024
30 - Fondo de Fondos,SFdF Acciones Emergentes SCOTIA FONDOS,SCOTIA FONDOS,19/08/2014,$,4.32034718,5.43%,6.29%,-33.07%,-0.97%,-13.62%,5.79%,"19,416,164.83",0.04%,209,0.04%,31/10/2024
30 - Fondo de Fondos,SFdF Distributivo HY II SCOTIA FONDOS,SCOTIA FONDOS,9/12/20,$,819.0684268,2.22%,3.43%,-18.70%,-5.38%,1.04%,,"76,816,086.42",0.17%,190,0.04%,31/10/2024
30 - Fondo de Fondos,SFdF DISTRIBUTIVO IG SCOTIA FONDOS,SCOTIA FONDOS,11/3/20,$,939.6797652,-0.14%,3.15%,-11.67%,-2.33%,5.85%,,"180,810,325.41",0.39%,299,0.06%,31/10/2024
30 - Fondo de Fondos,SFdF Igualdad de Genero SCOTIA FONDOS,SCOTIA FONDOS,17/09/2021,$,10.90863452,17.36%,14.30%,-22.36%,4.89%,,,"5,499,805.88",0.01%,58,0.01%,31/10/2024
30 - Fondo de Fondos,SURA ACC. NORTEAMERICANAS FONDOS SURA SAF,FONDOS SURA SAF,21/02/2014,$,27.656577,19.76%,23.41%,-19.09%,19.29%,17.81%,26.78%,"98,985,453.57",0.22%,818,0.17%,31/10/2024
30 - Fondo de Fondos,SURA ACCIONES GLOBALES FONDOS SURA SAF,FONDOS SURA SAF,24/07/2018,$,15.3798884,13.91%,19.76%,-20.98%,13.77%,12.90%,23.25%,"37,674,174.86",0.08%,416,0.09%,31/10/2024
30 - Fondo de Fondos,SURA BONOS GLOBALES FONDOS SURA SAF,FONDOS SURA SAF,26/09/2017,$,0,,,,,,,"67,149,875.24",0.15%,328,0.07%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA BONOS GLOBALES SERIE A,FONDOS SURA SAF,26/09/2017,$,106.2850101,3.41%,5.83%,-7.82%,-1.17%,3.70%,8.16%,,,264,0.05%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA BONOS GLOBALES SERIE B,FONDOS SURA SAF,26/09/2017,$,86.167229,0.94%,1.89%,-10.94%,-4.33%,0.20%,7.13%,,,69,0.01%,31/10/2024
30 - Fondo de Fondos,SURA CAPITAL ESTRATEGICO I FONDOS SURA SAF,FONDOS SURA SAF,2/10/13,S/.,0,,,,,,,"10,790,784.09",0.02%,304,0.06%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA CAPITAL ESTRATEGICO I SERIE A,FONDOS SURA SAF,2/10/13,S/.,140.9090803,5.16%,4.06%,-13.45%,1.05%,11.27%,6.32%,,,185,0.04%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA CAPITAL ESTRATEGICO I SERIE B,FONDOS SURA SAF,2/10/13,S/.,144.7202734,5.37%,4.31%,-13.25%,1.29%,11.53%,6.57%,,,121,0.02%,31/10/2024
30 - Fondo de Fondos,SURA CAPITAL ESTRATEGICO II FONDOS SURA SAF,FONDOS SURA SAF,2/10/13,S/.,0,,,,,,,"19,106,402.08",0.04%,451,0.09%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA CAPITAL ESTRATEGICO II SERIE A,FONDOS SURA SAF,2/10/13,S/.,143.1021144,7.17%,5.58%,-12.28%,1.56%,12.53%,7.98%,,,247,0.05%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA CAPITAL ESTRATEGICO II SERIE B,FONDOS SURA SAF,2/10/13,S/.,146.5652,7.39%,5.83%,-12.07%,1.80%,12.79%,8.24%,,,211,0.04%,31/10/2024
30 - Fondo de Fondos,SURA DEUDA PRIV. GLOBAL FONDOS SURA SAF,FONDOS SURA SAF,30/06/2022,$,10089.71115,0.67%,0.00%,0.23%,,,,"102,872,989.15",0.22%,285,0.06%,31/10/2024
30 - Fondo de Fondos,Sura Real Estate Global Income FONDOS SURA SAF,FONDOS SURA SAF,5/7/18,$,11149.64623,-7.42%,-12.16%,5.51%,18.73%,4.79%,3.66%,"729,304,265.74",1.59%,"1,789.00",0.37%,31/10/2024
30 - Fondo de Fondos,SURA SELECCION GLOBAL I FONDOS SURA SAF,FONDOS SURA SAF,8/9/16,$,0,,,,,,,"39,091,088.08",0.09%,269,0.06%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA SELECCION GLOBAL I SERIE A,FONDOS SURA SAF,8/9/16,$,129.6907507,7.18%,10.79%,-12.32%,0.56%,7.69%,12.41%,,,267,0.05%,31/10/2024
30 - Fondo de Fondos,FONDOS SURA SAF-SURA SELECCION GLOBAL I SERIE B,FONDOS SURA SAF,8/9/16,$,132.2191118,7.39%,11.05%,-12.11%,0.80%,7.95%,12.67%,,,2,0.00%,31/10/2024
33 - Flexible Dólares,BDC DEUDA DIVERSIFICADA FMIV BD CAPITAL SAF,BD CAPITAL SAF,16/03/2021,$,94.50764707,8.44%,-1.85%,-14.71%,4.37%,,,"22,266,855.58",0.05%,10,0.00%,31/10/2024
33 - Flexible Dólares,SCOTIA DEPÓSITO DISPONIBLE $ SCOTIA FONDOS,SCOTIA FONDOS,17/08/2011,$,11.70232035,3.52%,0.57%,0.91%,0.59%,1.39%,2.30%,"162,483,824.11",0.35%,"3,035.00",0.62%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA Distributivo $ FMIV CONTINENTAL FM,CONTINENTAL FM,20/12/2023,$,106.6612479,5.76%,0.24%,,,,,"28,745,292.27",0.06%,107,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA DISTRIBUTIVO $ II CONTINENTAL FM,CONTINENTAL FM,2/4/24,$,104.3259237,3.85%,,,,,,"28,480,238.92",0.06%,82,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER $ 17 CONTINENTAL FM,CONTINENTAL FM,30/07/2024,$,101.8753785,1.21%,,,,,,"88,111,617.17",0.19%,328,0.07%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER $ 18 CONTINENTAL FM,CONTINENTAL FM,24/09/2024,$,101.0071889,0.39%,,,,,,"26,641,820.02",0.06%,86,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER DOLARES 13 CONTINENTAL FM,CONTINENTAL FM,21/12/2023,$,104.7981104,4.47%,0.00%,,,,,"48,116,699.11",0.10%,137,0.03%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER DOLARES 14 CONTINENTAL FM,CONTINENTAL FM,7/3/24,$,103.9057503,3.12%,,,,,,"122,777,869.79",0.27%,320,0.07%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER DOLARES 15 CONTINENTAL FM,CONTINENTAL FM,26/04/2024,$,103.2192381,2.53%,,,,,,"107,480,767.67",0.23%,364,0.07%,31/10/2024
39 - Inst Deuda Duración Flexibl $,BBVA SUPER DOLARES 16 CONTINENTAL FM,CONTINENTAL FM,11/6/24,$,102.4978076,1.90%,,,,,,"105,683,248.72",0.23%,328,0.07%,31/10/2024
39 - Inst Deuda Duración Flexibl $,CC RENTA DOLARES 2Y II CREDIFONDO SAF,CREDIFONDO SAF,1/10/24,$,100.076772,-0.15%,,,,,,"23,182,020.78",0.05%,109,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,CC RENTA DOLARES 3Y VI CREDIFONDO SAF,CREDIFONDO SAF,19/12/2023,$,105.197403,4.63%,0.40%,,,,,"36,258,902.86",0.08%,122,0.03%,31/10/2024
39 - Inst Deuda Duración Flexibl $,CC RENTA DOLARES 3Y VII CREDIFONDO SAF,CREDIFONDO SAF,17/06/2024,$,103.347123,2.88%,,,,,,"24,724,854.90",0.05%,94,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,CC RENTA DOLARES 4Y VI CREDIFONDO SAF,CREDIFONDO SAF,11/8/22,$,110.191412,4.96%,5.99%,-1.05%,,,,"24,830,849.71",0.05%,106,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,CRED DEUDA CORP LATAM HY CREDIFONDO SAF,CREDIFONDO SAF,24/01/2019,$,124.608298,9.49%,6.55%,-8.84%,0.34%,4.84%,11.11%,"113,298,554.01",0.25%,108,0.02%,31/10/2024
39 - Inst Deuda Duración Flexibl $,IF Enfoque LATAM INTERFONDO,INTERFONDO,7/9/17,$,47.4151,4.79%,5.19%,-12.99%,-4.81%,2.85%,6.22%,"9,709,077.42",0.02%,140,0.03%,31/10/2024
39 - Inst Deuda Duración Flexibl $,IF LIBRE DISPONIBILIDAD INTERFONDO,INTERFONDO,7/7/15,$,0,-100.00%,4.28%,1.45%,0.41%,0.99%,2.13%,"2,832,191,711.96",6.16%,"22,028.00",4.52%,31/10/2024
39 - Inst Deuda Duración Flexibl $,INTERFONDO-IF LIBRE DISPONIBILIDAD SERIE A,INTERFONDO,7/7/15,$,118.1228,,,,,,,,,"21,413.00",4.40%,31/10/2024
39 - Inst Deuda Duración Flexibl $,INTERFONDO-IF LIBRE DISPONIBILIDAD SERIE B,INTERFONDO,7/7/15,$,118.1457,,,,,,,,,175,0.04%,31/10/2024
39 - Inst Deuda Duración Flexibl $,INTERFONDO-IF LIBRE DISPONIBILIDAD SERIE C,INTERFONDO,7/7/15,$,118.1335,,,,,,,,,440,0.09%,31/10/2024
39 - Inst Deuda Duración Flexibl $,SURA PLAZO DEFINIDO $ II FONDOS SURA SAF,FONDOS SURA SAF,14/12/2023,$,104.8825424,4.33%,0.27%,,,,,"21,868,163.05",0.05%,128,0.03%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,IF LIBRE DISPONIBILIDAD S/. INTERFONDO,INTERFONDO,7/5/15,S/.,0,,,,,-100.00%,2.73%,"1,815,119,443.14",3.95%,"37,890.00",7.78%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,INTERFONDO-IF LIBRE DISPONIBILIDAD S/. SERIE A,INTERFONDO,7/5/15,S/.,135.9848,4.30%,6.39%,3.95%,0.52%,,,,,"36,746.00",7.54%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,INTERFONDO-IF LIBRE DISPONIBILIDAD S/. SERIE B,INTERFONDO,7/5/15,S/.,136.7485,4.46%,6.54%,4.07%,0.64%,,,,,172,0.04%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,INTERFONDO-IF LIBRE DISPONIBILIDAD S/. SERIE C,INTERFONDO,7/5/15,S/.,136.018,,,,,,,,,972,0.20%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,SURA DEUDA SOBER. DISTRIB. S/ FONDOS SURA SAF,FONDOS SURA SAF,26/04/2023,S/.,111.464037,3.05%,4.73%,,,,,"56,018,873.88",0.12%,252,0.05%,31/10/2024
40 - Inst Deuda Duración Flexibl S/,Sura Plazo Definido S/ IV FONDOS SURA SAF,FONDOS SURA SAF,17/05/2024,S/.,102.4056915,2.39%,,,,,,"117,249,296.84",0.26%,10,0.00%,31/10/2024
41 - Fondo Bursátil - ETF,VAN ECK EL DORADO PERU ETF EL DORADO SAF,EL DORADO SAF,11/3/21,$,12.42398608,13.77%,29.15%,0.86%,-17.39%,,,"389,598,933.90",0.85%,1,0.00%,31/10/2024
"IGBVL: 13,366.86",,,,,,,,,,,,,,,,
"ISBVL: 18,732.83",,,,,,,,,,,,,,,,
TIPOCAMBIO: 3.7668,,,,,,,,,,,,,,,,
