Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
12 - Estructurado,CC CUPON ESCALONADO LXXII CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,101.016852,0.91%,,,,,,"36,547,357.86",0.08%,175,0.04%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXIII CREDIFONDO SAF,CREDIFONDO SAF,13/08/2024,$,100.910974,0.80%,,,,,,"22,987,255.30",0.05%,92,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXIV CREDIFONDO SAF,CREDIFONDO SAF,29/08/2024,$,100.845335,0.71%,,,,,,"189,839,345.96",0.41%,649,0.13%,31/10/2024
12 - Estructurado,CC Cupon Escalonado LXXIX CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.051231,-0.01%,,,,,,"16,398,935.37",0.04%,78,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXV CREDIFONDO SAF,CREDIFONDO SAF,29/08/2024,$,100.759908,0.62%,,,,,,"30,744,790.12",0.07%,112,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXVI CREDIFONDO SAF,CREDIFONDO SAF,12/9/24,$,100.474255,0.36%,,,,,,"18,908,272.96",0.04%,89,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXVII CREDIFONDO SAF,CREDIFONDO SAF,13/09/2024,$,100.608952,0.51%,,,,,,"136,102,713.86",0.30%,369,0.08%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXVIII CREDIFONDO SAF,CREDIFONDO SAF,13/09/2024,$,100.575001,0.46%,,,,,,"30,597,203.32",0.07%,94,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXX CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.44614,0.26%,,,,,,"166,170,146.86",0.36%,565,0.12%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO LXXXI CREDIFONDO SAF,CREDIFONDO SAF,3/10/24,$,100.263071,0.10%,,,,,,"19,778,018.54",0.04%,88,0.02%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO XLIX CREDIFONDO SAF,CREDIFONDO SAF,27/12/2023,$,104.366108,4.07%,0.06%,,,,,"112,926,930.11",0.25%,398,0.08%,31/10/2024
12 - Estructurado,CC CUPON ESCALONADO XLVI CREDIFONDO SAF,CREDIFONDO SAF,16/11/2023,$,104.894711,4.02%,0.86%,,,,,"157,858,318.33",0.34%,522,0.11%,31/10/2024
12 - Estructurado,IF 35 Custodia Dólares FMIV INTERFONDO,INTERFONDO,27/11/2023,$,52.6186,4.19%,0.71%,,,,,"71,298,721.09",0.16%,394,0.08%,31/10/2024
