Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N
Flexible,BLUM SAF-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12,-1,0.0641,-0.0557,,,,,,,,,0.5828612385,-1.0000,0.0641,-0.3305,,1
Flexible,CC DEUDA CORPORATIVA SOLES CREDIFONDO SAF,CREDIFONDO SAF,31/07/2019,S/.,116.25,0.0463,0.1362,-0.0539,-0.0377,0.0561,0.0148,,,,,,0.06931619339,-0.0539,0.1362,0.0270,49666493.01,388
Flexible,CC FACTORING $ CREDIFONDO SAF,CREDIFONDO SAF,20/06/2023,$,107.49,0.0353,0.0382,,,,,,,,,,0.002050609665,0.0353,0.0382,0.0368,347001866.8,847
Flexible,CC RENTA OPERATIVA I (FI) CREDIFONDO SAF,CREDIFONDO SAF,28/06/2019,$,131.37,0.0308,0.0676,0.0549,0.0488,0.048,0.0259,,,,,,0.01544448121,0.0259,0.0676,0.0460,146550231.8,535
Flexible,CORIL CASH CONSERVADOR S/ CORIL SAF,CORIL SAF,10/8/22,S/.,1121.33,0.0302,0.0625,0.0236,,,,,,,,,0.02081690019,0.0236,0.0625,0.0388,5336592.61,24
Flexible,CRED CAP FACTORING S/ CREDIFONDO SAF,CREDIFONDO SAF,7/12/20,S/.,126.06,0.0392,0.0829,0.0673,0.0418,0.0048,,,,,,,0.02987231159,0.0048,0.0829,0.0472,67014639.52,277
Flexible,FARO DEUDA GLOBAL FARO CAPITAL SAFI,FARO CAPITAL SAFI,29/05/2018,$,0,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,66166014.71,49
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,102.32,-0.0043,0.0447,-0.1174,-0.0194,0.0617,0.0656,0.0039,,,,,0.06341418649,-0.1174,0.0656,0.0050,,4
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,101.43,-0.0049,0.0435,-0.1184,-0.0205,0.0604,0.0635,0.0025,,,,,0.06317227014,-0.1184,0.0635,0.0037,,8
Flexible,FARO CAPITAL SAFI-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,100.26,-0.0055,0.0423,-0.1194,-0.0217,0.0592,0.0597,-0.0003,,,,,0.06269821521,-0.1194,0.0597,0.0020,,37
